No,Kecamatan,Kelurahan,Nama Perusahaan,Lokasi Menara,Latitude_rev,Longitude_rev,Longitude,Latitude,Tinggi Tower,Struktur Tower,Data IMB
292,Batununggal,Cibangkong,PT. Solusi Tunas Pratama,Surya Tjong  Store Jl. Jend. Gatot Subroto No. 245 RT 01 RW  03.,-6.92601,107.63358,107.63358,-6.92601,20,4 Kaki,503.645/SI-0794 Disbang/III-07
293,Batununggal,Bandung Kulon,PT. Solusi Tunas Pratama,Jl. Sukarno  Hatta No. 450 Bandung,-6.95121,107.62291,107.62291,-6.95121,60,4 Kaki,503.645/41/BPPT/2010
294,Batununggal,Binong,PT. Solusi Tunas Pratama,Jl. Soekarno  Hatta Gang.H.Kurdi RT 02/10 ,-6.944559,107.63921,107.63921,-6.944559,20,Pole,Proses
295,Batununggal,Kacapiring,PT. Centratama Menara Indonesia,Jl. Garut I No. 1 RT 02 RW  04 ,-6.917556,107.6319,107.6319,-6.917556,24,4 Kaki,IMB RELEASED
296,Batununggal,Gumuruh,PT. Centratama Menara Indonesia,Jl. Gatot Subroto No. 180Ê RT 6/3 ,-6.929419,107.638738,107.638738,-6.929419,25,4 Kaki,503.645/1229/BPPT 2010
297,Batununggal,Cibangkong,PT. Centratama Menara Indonesia,Jl. Laswi 98 Bandung,-6.9219,107.63033,107.63033,-6.9219,32,Pole,IMB RELEASED
298,Batununggal,Kebon Waru,PT. Xl Axiata, Tbk,Jl. Jakarta No. 73 RT 05 RW  03 ,-6.913833333,107.6425278,-6.913833333,107.6425278,15,Pole,503.645/3673/BPPT
299,Batununggal,Gumuruh,PT. Xl Axiata, Tbk,Jl. Gumuruh No. 87 RT  01 RW  06 ,-6.933888889,107.638,-6.933888889,107.638,30,3 Kaki,503.645/SI-050 Disbang/05
300,Batununggal,Gumuruh,PT. Xl Axiata, Tbk,Jl. Jatimulya 3 No. 96 02RW  11 ,-6.94275,107.6364722,-6.94275,107.6364722,31,3 Kaki,503.645/SI-0801 DISBANG/2007
301,Batununggal,Sukamaju,PT. Xl Axiata, Tbk,Jl. Ahmad Yani No. 326 RT 01/ RW  07 Bandung,-6.9134,107.63497,-6.9134,107.63497,25,3 Kaki,503.645/SI-2864 Disbang/2006
302,Batununggal,Cibangkong,Hutchinson,Bandung Super Mall Jl. Gatot Subroto 289 Bandung,-6.924972,107.636639,107.636639,-6.924972,15,Pole,-
303,Batununggal,Cibangkong,Hutchinson,Jl. Gatot Subroto No. 289,-6.92533,107.63715,107.63715,-6.92533,6,Pole,-
304,Bojongloa Kaler,Babakan Asih,PT. Xl Axiata, Tbk,Jl. Babakan Tarogong No. 110 ,-6.9328,107.59279,-6.9328,107.59279,25,3 Kaki,503.645/SI-2328 Disbang/2006
305,Bojongloa Kaler,Babakan Asih,Daya Mitra Telekomunikasi,Jl. Kopo No. 86 RT 01/07,-6.931463,107.596706,107.596706,-6.931463,6,Pole,IMB - 645/08/415.21/2012
306,Bojongloa Kaler,Babakan Asih,Daya Mitra Telekomunikasi,Jl. Babakan Taruyong,-6.932969,107.592667,107.592667,-6.932969,15,3 Kaki,IMB - 503.645/4787/BPPT
307,Bojongloa Kaler,Babakan Tarogong,Daya Mitra Telekomunikasi,Jl. Peta No. 252 D,-6.927391,107.586139,107.586139,-6.927391,9,Pole,RESI - 555/497-DISKOMINFO
308,Bojongloa Kaler,Suka Asih,Daya Mitra Telekomunikasi,Jl. Babakan Ciparay,-6.930082,107.58484,107.58484,-6.930082,3,Pole,-
309,Bojongloa Kaler,Kopo,PT. Indosat, Tbk,Jl. Babakan Ciparay No. 299 RT 01/011,-6.941879,107.584552,107.584552,-6.941879,42,4 Kaki,503.645/S1-0253 Disbang/02
310,Bojongloa Kaler,Babakan Tarogong,PT. Indosat, Tbk,Blok Petir RW  05,-6.931292,107.589633,107.589633,-6.931292,42,4 Kaki,503.643.3/51-2569/Dpb TAHUN 1998
311,Bojongloa Kaler,Kopo,PT. Indosat, Tbk,Jl. Raya Kopo Depan Pintu Tol Kopo,-6.956352,107.581486,107.581486,-6.956352,52,4 Kaki,503.643.3/S1-1663/Dpb TAHUN 1997
312,Bojongloa Kaler,Suka Asih,PT. Tower Bersama Group,Jl. Titian Kencana,-6.93355,107.589,107.589,-6.93355,26,4 Kaki,503.645/SI-3119
313,Bojongloa Kaler,Kopo,PT. Tower Bersama Group,Jl. Kopo,-6.93864,107.589,107.589,-6.93864,53,4 Kaki,503.645/SI-043 Disbang/2005
314,Bojongloa Kaler,Kopo,PT. Telkomsel,Jl. Soekarno  Hatta No. 70 I,-6.946097,107.590198,107.590198,-6.946097,20,4 Kaki,-
315,Bojongloa Kaler,Babakan Tarogong,PT. Telkomsel,Jl. Mutiara Terusan Pasir Koja ,-6.92954,107.59359,107.59359,-6.92954,6,Pole,NO NEED
316,Bojongloa Kidul,Situsaeur,PT. Xl Axiata, Tbk,Jl. Komplek Muara (Depan No. 21) Sebelah Kantor Camat Bojongloa Kidul,-6.941916667,107.5974722,-6.941916667,107.5974722,30,4 Kaki,503.645/878/BPPT
317,Bojongloa Kaler,Suka Asih,PT. Xl Axiata, Tbk,Jl. Raya Wachid Hasyim (Kopo) ,-6.941444444,107.5882222,-6.941444444,107.5882222,30,3 Kaki,503.645/838/BPPT
318,Bojongloa Kaler,Jamika,PT. Xl Axiata, Tbk,Jl. Jamika No. 96 RT 05 RW  07 ,-6.921833333,107.5834444,-6.921833333,107.5834444,15,3 Kaki,503.645/SI-3303 DISBANG/2005
319,Bojongloa Kidul,Mekar Wangi,Daya Mitra Telekomunikasi,Jl. Mekar Puspita No. 88,-6.950684,107.598683,107.598683,-6.950684,6,Pole,IMB - 645/399/IV/2012
320,Bojongloa Kidul,Mekar Wangi,Daya Mitra Telekomunikasi,Babakan Muslimin RT 03/06,-6.955549,107.608889,107.608889,-6.955549,12,Pole,IMB - 503.645/1721/BPPT
321,Bojongloa Kidul,Situsaeur,PT. Indosat, Tbk,Jl. Peta No. 75 RT 12/03 Situsaeur,-6.937988,107.598223,107.598223,-6.937988,25,4 Kaki,503.645/SI-0331 Disbang/2003
322,Bojongloa Kidul,Kebon Lega,PT. Indosat, Tbk,Jl. Cibaduyut No. 53Kebon Lega,-6.949694,107.594605,107.594605,-6.949694,32,4 Kaki,503.545/SI-1771 Disbang/2001
323,Bojongloa Kidul,Situsaeur,PT. Tower Bersama Group,Jl. Leuwi Panjang No. 90  RT 01/06,-6.94289,107.596,107.596,-6.94289,25,4 Kaki,503.645/1136/BPPT
324,Bojongloa Kidul,Situsaeur,PT. Tower Bersama Group,Jl. Gaung Daya Bakti 3 RT 10/04,-6.94664,107.595,107.595,-6.94664,12,Mcp,503.645/2419/BPPT
325,Bojongloa Kidul,Cibaduyut,PT. Telkomsel,Jl. Cibaduyut Raya No. 142,-6.955679,107.592709,107.592709,-6.955679,12,3 Kaki,-
326,Bojongloa Kidul,Situsaeur,PT. Telkomsel,Jl. Peta No. 123,-6.937215,107.595281,107.595281,-6.937215,20,3 Kaki,-
327,Bojongloa Kidul,Cibaduyut Wetan,PT. Telkomsel,Jl. Mekar Molek No. 21,-6.956559,107.603461,107.603461,-6.956559,32,4 Kaki,-
328,Bojongloa Kidul,Mekar Wangi,PT. Telkomsel,Visi Book Store Jl. MekarÊLaksana No.  1 RT 02 RW  06,-6.953934,107.605881,107.605881,-6.953934,6,Pole,NO NEED
329,Bojongloa Kidul,Mekar Wangi,PT. Telkomsel,Kp. Warna Cinta RT  04 RW  03 ,-6.95464,107.599998,107.599998,-6.95464,6,Pole,NO NEED
330,Bojongloa Kidul,Kebon Lega,PT. Xl Axiata, Tbk,Jl. Soekarno  Hatta No. 162 ,-6.948222222,107.5978611,-6.948222222,107.5978611,15,3 Kaki,503.645/SI-2647/Disbang/2006
331,Bojongloa Kaler,Babakan Tarogong,PT. Protelindo, Tbk,Jl. Amd 10 No. 17 A RT 06 RW  07  Kod.Pos  40232,-6.93055,107.59183,107.59183,-6.93055,35,3 Kaki,503.645/SI-0099/Disbang/2007
332,Bojongloa Kaler,Suka Asih,PT. Protelindo, Tbk,Jl. Babakan Ciparay  No.  195 RT  07 RW  07 Kode Pos 40233,-6.93266,107.58497,107.58497,-6.93266,35,3 Kaki,503.645/SI-0830Disbang/2007
333,Bojongloa Kaler,Kopo,PT. Protelindo, Tbk,Jl. Pusri RT  04 RW  11 No.  ,-6.94245,107.58635,107.58635,-6.94245,35,3 Kaki,503.645/SI-3512Disbang/2006
334,Bojongloa Kaler,Babakan Asih,PT. Protelindo, Tbk,Jl. K. H. Wahid Hasyim / Kopo No. 218 RT 01 RW  04 ,-6.93653,107.59516,107.59516,-6.93653,25,4 Kaki,503.645/3518/BPPT
335,Bojongloa Kaler,Jamika,PT. Protelindo, Tbk,Jl. Luna Iv No. 8 RT 015 RW  04 ,-6.92061,107.59215,107.59215,-6.92061,12,Pole,503.645/2399/BPPT
336,Bojongloa Kaler,Babakan Asih,PT. Protelindo, Tbk,Jl. Kopo No. 178 RT  04 RW  03 ,-6.9344,107.59575,107.59575,-6.9344,6,Pole,-
337,Bojongloa Kaler,Suka Asih,PT. Protelindo, Tbk,Gg Pesantren/Jl. PetaRT 01/RW 03,-6.93454,107.59227,107.59227,-6.93454,31,3 Kaki,503.645/364/BPPT
338,Bojongloa Kaler,Jamika,PT. Solusi Tunas Pratama,Jl. Jendral Sudirman 511 ,-6.91904,107.5869,107.5869,-6.91904,15,Pole,503.645/892/BPPT
339,Bojongloa Kaler,Jamika,PT. Solusi Tunas Pratama,Jl. Pangarsih No.  142 RT 10 RW  04 ,-6.922388889,107.5917778,107.5917778,-6.922388889,20,3 Kaki,0363/8.1/31.71.05.1003/-1.785.51/2016
340,Bojongloa Kaler,Suka Asih,Hutchinson,Jl. Peta No. 25E RT 03/RW 06,-6.92727,107.58629,107.58629,-6.92727,12,Pole,-
341,Bojongloa Kidul,Cibaduyut,PT. Protelindo,Jl. Cibaduyut Raya No. 85-87,-6.95068,107.5941,107.5941,-6.95068,6,Pole,tidak diperlukan IMB
342,Bojongloa Kidul,Kebon Lega,PT. Protelindo,Jl. Karasak Barat No. 5B RT 01 RW  09 ,-6.94882,107.60233,107.60233,-6.94882,9,Pole,503.645/0190/BPPT
343,Bojongloa Kidul,Mekar Wangi,PT. Protelindo,Jl. Komplek Mekar Wangi RT 3 RW  3,-6.95328,107.59968,107.59968,-6.95328,42,Sst,503.645/SI-2490 Disbang/2006
344,Bojongloa Kidul,Kebon Lega,PT. Protelindo, Tbk,Jl. Cibaduyut Raya No. 55A RT 01 RW  10,-6.94964,107.59406,107.59406,-6.94964,20,3 Kaki,503.645/SI-1532 Disbang/07
345,Bojongloa Kidul,Situsaeur,PT. Protelindo, Tbk,Jl. K.H Wahid Hasim No. 235 RT  02 RW  06 Kode Pos 40234 ,-6.93964,107.59364,107.59364,-6.93964,20,3 Kaki,503.645/SI-0466Disbang/2007
346,Bojongloa Kidul,Cibaduyut,PT. Protelindo, Tbk,Jl. Cibaduyut Raya No. 142 RT 01 RW  05,-6.95623,107.59255,107.59255,-6.95623,30,3 Kaki,503.645/2099/BPPT
347,Bojongloa Kidul,Situsaeur,PT. Protelindo, Tbk,Gg. Gagak Handoko No. 66/198 B RT 04 RW  01 ,-6.93353,107.5976,107.5976,-6.93353,25,4 Kaki,503.645/4812/BPT
348,Bojongloa Kidul,Kebon Lega,PT. Protelindo, Tbk,Jl. Leuwisari X No. 28 RT 01 RW  08 ,-6.94594,107.59833,107.59833,-6.94594,12,Pole,503.645/0187/BPPT
349,Bojongloa Kidul,Kebon Lega,PT. Protelindo, Tbk,Jl. Kopo No. 367 RT 01 RW  07 ,-6.9466,107.58945,107.58945,-6.9466,12,Pole,503.645/4300/BPPT
350,Bojongloa Kidul,Cibaduyut,PT. Protelindo, Tbk,Jl. Sauyunan Mas V No. 1 ,-6.95126,107.58988,107.58988,-6.95126,12,Pole,663.10/0009/IMBT/XII/2015/BPPT
351,Bojongloa Kidul,Situsaeur,PT. Protelindo, Tbk,Jl. Leuwi Anyar I No. 33 ,-6.94386,107.59479,107.59479,-6.94386,12,Pole,663.10/0014/IMBT/XII/2015/BPPT
352,Bojongloa Kidul,Mekar Wangi,PT. Protelindo, Tbk,Jl. Mekar Agung No. 1-3 RT  02 RW  04 ,-6.95562,107.60651,107.60651,-6.95562,12,Pole,503.645/0188/BPPT
353,Bojongloa Kidul,Kebon Lega,PT. Protelindo, Tbk,Komplek PeRT okoan Istana MekaRW angi Jl. Karasak Barat Mekar Mas Kav. 5E ,-6.94889,107.60221,107.60221,-6.94889,6,Pole,-
354,Bojongloa Kidul,Kebon Lega,PT. Protelindo, Tbk,Jl. Muarasari I No. 41 RT  02 RW  11 ,-6.94457,107.59996,107.59996,-6.94457,6,Pole,-
355,Bojongloa Kidul,Situsaeur,PT. Protelindo, Tbk,Jl. Leuwi Panjang Gg. H. Samsudin RT 09 RW 04 ,-6.94505,107.59394,107.59394,-6.94505,6,Pole,-
356,Bojongloa Kidul,Cibaduyut Wetan,PT. Protelindo, Tbk,Jl. AnggacarangRT 01/04,-6.9571,107.603,107.603,-6.9571,31,3 Kaki,503.645/SI-1141DIsbang/2006
357,Bojongloa Kidul,Cibaduyut Kidul,PT. Solusi Tunas Pratama,Jl. Rancamaya ,-6.9555,107.5956111,107.5956111,-6.9555,32,3 Kaki,648.1/120/BPPT/2016
358,Bojongloa Kidul,Mekar Wangi,PT. Solusi Tunas Pratama,Kompleks Perumahan Babakan Muslimin No. 40 RT 03/RW 06,-6.955555556,107.6091389,107.6091389,-6.955555556,6,Pole,640/155/IMB/DPMPTSP/V/2017
359,Bojongloa Kidul,Kebon Lega,PT. Solusi Tunas Pratama,Jl. Cibaduyut Lama No. 37 RT  07 RW  07 ,-6.948166667,107.5907222,107.5907222,-6.948166667,31,3 Kaki,02/KEP/IMB-MENARA/DPMPTP-2017
360,Bojongloa Kidul,Situsaeur,PT. Centratama Menara Indonesia,Jl. Leuwi Panjang No. 34 RT 07 RW  07 ,-6.93988,107.59639,107.59639,-6.93988,9,Pole,503.645/3260/BPPT 2014
361,Bojongloa Kidul,Cibaduyut Kidul,PT. Xl Axiata, Tbk,Jl. Ciparay Tengah No. 1  RT 05 RW 01 ,-6.96207,107.59291,-6.96207,107.59291,42,3 Kaki,503.645/SI-2487 Disbang/2006
362,Bojongloa Kidul,Kebon Lega,Hutchinson,Jl. Karasak No. 63 RT 05/RW 05,-6.94988,107.60626,107.60626,-6.94988,9,Pole,-
363,Buahbatu,Sekejati,PT. Protelindo,Jl. Cijawura Girang Raya RT 01 RW  014,-6.9442,107.64861,107.64861,-6.9442,30,Sst,503.645/0462/BPPT
364,Buahbatu,Cijaura,PT. Protelindo,Jl. Margacinta No. 52 A RT  01 RW  04,-6.95494,107.64299,107.64299,-6.95494,6,Camouflage,tidak diperlukan IMB
365,Buahbatu,Sekejati,PT. Protelindo, Tbk,Jl. Rancabolang No. 16,-6.94628,107.66242,107.66242,-6.94628,35,4 Kaki,503.645/1740/BPPT
366,Buahbatu,Jatisari,PT. Protelindo, Tbk,Jl. Kawaluyaan RT 06 RW  06,-6.93728,107.66224,107.66224,-6.93728,25,4 Kaki,503.645/684/BPPT
367,Buahbatu,Sekejati,PT. Protelindo, Tbk,Jl. Cijawura Girang II/3 RT 02 RW  14 ,-6.94745,107.64632,107.64632,-6.94745,12,Pole,503.645/2581/BPPT
368,Buahbatu,Jatisari,PT. Protelindo, Tbk,Jl. Permata Kawaluyaan D-6 RT 03 RW  04 ,-6.9313,107.66301,107.66301,-6.9313,21,Pole,503.645/0393/BPPT
369,Buahbatu,Margasari,PT. Protelindo, Tbk,Jl. Margasari No. 221A RT 04 RW  10 ,-6.95783,107.65995,107.65995,-6.95783,43,3 Kaki,503.645/0849/BPPT
370,Buahbatu,Cijaura,PT. Protelindo, Tbk,Jl. Cijawura Hilir (Gg. 3) RT 06 RW  012 ,-6.96332,107.65709,107.65709,-6.96332,20,4 Kaki,503.645/0277/BPPT
371,Buahbatu,Jatisari,PT. Protelindo, Tbk,Jl. Sanggar Kencana Utama ,-6.93847,107.66679,107.66679,-6.93847,12,Pole,663.10/0007/IMBT/XI/2015/BPPT
372,Buahbatu,Sekejati,PT. Protelindo, Tbk,Jl. Margahayu Raya Blok L2 No. 125A ,-6.95005,107.65762,107.65762,-6.95005,27,4 Kaki,663.10/0011/IMBT/XI/2015/BPPT
373,Buahbatu,Cijaura,PT. Centratama Menara Indonesia,Cijawura Hilir RT 04 RW  12 ,-6.96594,107.66012,107.66012,-6.96594,42,4 Kaki,IMB RELEASED
374,Buahbatu,Margasari,PT. Xl Axiata, Tbk,Jl. Ciwastra RT  04 RW  01 ,-6.95865,107.65773,-6.95865,107.65773,42,3 Kaki,503.645/SI-2742 Disbang/06
375,Buahbatu,Sekejati,PT. Permata Karya Perdana,Jl. Jupiter Ix RT 06 RW 02,-6.94584,107.66022,107.66022,-6.94584,18,Pole,663.10/0005/IMBT/VI/2016/BPPT 13 JUN 2016
376,Buahbatu,Cijaura,Naragita,Jl. Margawangi Raya 1 No. 3 RT  03/04,-6.96254,107.65203,107.65203,-6.96254,36,Pole,-
377,Buahbatu,Cijaura,Daya Mitra Telekomunikasi,Jl. Kencana Wangi Utara,-6.959432,107.652494,107.652494,-6.959432,42,4 Kaki,IMB - 503.645/2597/BPPT
378,Buahbatu,Margasari,Daya Mitra Telekomunikasi,Jl. Cipagalo Girang No. 81,-6.953073,107.64789,107.64789,-6.953073,18,Pole,IMB - 503.645/0212/BPPT
379,Buahbatu,Jatisari,Daya Mitra Telekomunikasi,Jati Sari,-6.93494,107.6631357,107.6631357,-6.93494,20,Pole,IMB - 663.10/0014/IMBT/XII/2016/BPPT
380,Buahbatu,Cijaura,Daya Mitra Telekomunikasi,Jl. Cijaura Girang No. 2,-6.944564,107.648057,107.648057,-6.944564,10,3 Kaki,IMB - 663.10/0008/IMBT/VI/2016/BPPT
381,Buahbatu,Margasari,PT. Indosat, Tbk,Ji.Cipagalo Girang RT 02/03],-6.950068,107.647887,107.647887,-6.950068,52,4 Kaki,503.645/51-0201 Disbang/2002
382,Buahbatu,Margasari,PT. Tower Bersama Group,Jl. Rancasawo,-6.95976,107.671,107.671,-6.95976,52,4 Kaki,503.643.3/SI-1682/DPB TAHUN 1997
383,Buahbatu,Cijaura,PT. Tower Bersama Group,Jl. Cijaura Ilir RT 15/06,-6.96045,107.66,107.66,-6.96045,9,Pole,REKOM DISHUBKOMINFO DAN KRK DONE,  PENGESAHAN IMB
384,Buahbatu,Sekejati,PT. Tower Bersama Group,Jl. Cijawura Girang RT 13/08,-6.9477,107.653,107.653,-6.9477,36,4 Kaki,503.645/2657/BPPT
385,Buahbatu,Margasari,PT. Tower Bersama Group,Jl. Terusan Ciwastra,-6.95473,107.64,107.64,-6.95473,31,3 Kaki,503.645/3465/BPPT
386,Buahbatu,Jatisari,PT. Telkomsel,Jl. Soekarno  Hatta No. 702,-6.938452,107.661227,107.661227,-6.938452,N,4 Kaki,IMB-Bdg 2009_15
387,Buahbatu,Cijaura,PT. Telkomsel,Jl. Margaasih No. 3B,-6.958473,107.653295,107.653295,-6.958473,52,4 Kaki,-
388,Buahbatu,Margasari,PT. Telkomsel,Jl. Kiarasari 1,-6.94899,107.644093,107.644093,-6.94899,36,4 Kaki,-
389,Buahbatu,Jatisari,PT. Telkomsel,Jl. Komplek Kpad Pindad Timur,-6.939251,107.654966,107.654966,-6.939251,42,4 Kaki,-
390,Buahbatu,Sekejati,PT. Telkomsel,Jl. Rancabolang Margahayu Raya,-6.952211,107.661372,107.661372,-6.952211,52,4 Kaki,-
391,Buahbatu,Cijaura,PT. Telkomsel,Jl. Terusan Ibrahim Adjie No. 46 RT 04 RW 01 ,-6.94755,107.64134,107.64134,-6.94755,6,Pole,NO NEED
392,Buahbatu,Cijaura,PT. Telkomsel,Jl. Marga Baru II No. 5,-6.95587,107.64408,107.64408,-6.95587,6,Pole,NO NEED
393,Buahbatu,Cijaura,PT. Telkomsel,Jl. Batu Permata I No. 24 RT 03 RW  07,-6.957058,107.647876,107.647876,-6.957058,6,Pole,NO NEED
394,Buahbatu,Sekejati,PT. Telkomsel,Rancabolang Barat Blk.S II No. 49 RT 05 RW 011 ,-6.945409,107.655765,107.655765,-6.945409,6,Pole,NO NEED
395,Buahbatu,Sekejati,PT. Solusi Tunas Pratama,Jl. Rancabolang RT 06 RW 09 ,-6.952416667,107.6619167,107.6619167,-6.952416667,30,4 Kaki,30/42217/8107.01/51/PMDN/VIII/2016
396,Buahbatu,Cijaura,PT. Solusi Tunas Pratama,Jl. Kompleks Pasir Pagar Blok Rq No. 7 RT 02/RW 14,-6.965666667,107.6603889,107.6603889,-6.965666667,9,Pole,-
397,Cibeunying Kidul,Cikutra,Daya Mitra Telekomunikasi,Jl. Jakarta No. 73,-6.913858,107.642545,107.642545,-6.913858,12,Pole,IMB - 645/398/IV/2012
398,Cibeunying Kidul,Sukapada,Daya Mitra Telekomunikasi,Jl. Bojong Koneng No. 12 RT 04 RW  12 ,-6.89435,107.6437193,107.6437193,-6.89435,6,Pole,-
399,Cibeunying Kidul,Cicadas,PT. Indosat, Tbk,Yin Pramukha VII Komplek Perumahan Pusenif,-6.904531,107.637677,107.637677,-6.904531,42,4 Kaki,503.645/81-3344 Disbang/2003
400,Cibeunying Kidul,Pasirlayung,PT. Indosat, Tbk,Jl. Jendral A.Yani No. 995 RT 01 RW 04 Cicaheum,-6.902114,107.658064,107.658064,-6.902114,6,Pole,503.644.2/SI-0930-Dpb/1998
401,Cibeunying Kidul,Pasirlayung,PT. Tower Bersama Group,Jl. Babakan Gempol RT 04/04,-6.90012,107.651,107.651,-6.90012,30,Pole,503.645/2643/BPPT
402,Cibeunying Kidul,Sukapada,PT. Tower Bersama Group,Bojongkoneng Atas,-6.88972,107.645,107.645,-6.88972,42,4 Kaki,503.645/1350/BPPT
403,Cibeunying Kidul,Pasir Hayong,PT. Tower Bersama Group,Jl. Jendral Ahmad Yani No. 635,-6.90792,107.644,107.644,-6.90792,18,Pole,503.645/0414/BPPT
404,Cibeunying Kidul,Cicadas,PT. Tower Bersama Group,Jl. Jendral Ahmad Yani No. 393,-6.91126,107.638,107.638,-6.91126,26,4 Kaki,503.645/SI-1784 Disbang/2004
405,Cibeunying Kidul,Cicadas,PT. Tower Bersama Group,Jl. Yudha Watsu Pramuka,-6.90355,107.637,107.637,-6.90355,36,4 Kaki,503.645/2015/BPPT
406,Cibeunying Kidul,Pasir Hayong,PT. Telkomsel,Jl. Jendral Ahmad Yani No. 971,-6.902067,107.657469,107.657469,-6.902067,20,3 Kaki,-
407,Cibeunying Kidul,Cicadas,PT. Telkomsel,Jl. Jendral Ahmad Yani,-6.910643,107.639463,107.639463,-6.910643,20,3 Kaki,-
408,Cibeunying Kidul,Cigadung,PT. Telkomsel,Jl. Cigadung Raya Baru,-6.86769,107.623974,107.623974,-6.86769,42,4 Kaki,-
409,Cibeunying Kidul,Sukapada,PT. Telkomsel,Jl. Puri Asri RT 09/11,-6.896857,107.645694,107.645694,-6.896857,42,4 Kaki,-
410,Cibeunying Kidul,Padasuka,PT. Telkomsel,Jl. Jend A. Yani No. 689 RT 02/07 ,-6.90682,107.64633,107.64633,-6.90682,6,Pole,NO NEED
411,Cibeunying Kidul,Pasirlayung,PT. Telkomsel,Jl. Padasuka Parir LayungRT 02 RW  03 ,-6.89234,107.65776,107.65776,-6.89234,4.2,Pole,NO NEED
412,Cibeunying Kidul,Cicadas,PT. Telkomsel,Jl. Suka Mulus No.  47 RT 01 RW  09 Ê,-6.90828,107.63764,107.63764,-6.90828,6,Pole,NO NEED
413,Cibeunying Kidul,Cikutra,PT. Telkomsel,Jl. Sukarajin 2 Gg Sastro Dijarjo No.  10 RT 5/12 ,-6.90233,107.63968,107.63968,-6.90233,6,Pole,NO NEED
414,Cibeunying Kidul,Padasuka,PT. Telkomsel,Jl. Neglasari Selatan RT 03 RW 04 ,-6.90213,107.64758,107.64758,-6.90213,6,Pole,NO NEED
415,Cibeunying,Cigadung,PT. Protelindo, Tbk,Jl. Ranca Kendal ,-6.87568,107.62811,107.62811,-6.87568,42,3 Kaki,503.645/644/BPMPPT/2008
416,Cibeunying Kidul,Pasirlayung,PT. Xl Axiata, Tbk,Jl. Padasuka Gg.Dongdak RT 05 RW 01 ,-6.88764,107.66123,-6.88764,107.66123,42,4 Kaki,503.645/SI-2743 Disbang/2006
417,Cibeunying,Cigadung,PT. Permata Karya Perdana,Jl. Cigadung Raya Timur No.  42,-68,898,107.63017,107.63017,-68,898,16,Pole,563.10/0006/IMBT/XI/2016/BPPT 10 NOP 2016
418,Cibeunying Kaler,Cihaurgeulis,PT. Protelindo,Apotik Lia FarmaJl. Surapati No. 68 RT 02 RW  04,-6.90008,107.62832,107.62832,-6.90008,6,Pole,503.645/SI-2269 Disbang/2004
419,Cibeunying Kaler,Sukaluyu,PT. Protelindo, Tbk,Jl. Gagak No. 126 RT 01 RW  04,-6.89575,107.62787,107.62787,-6.89575,25,4 Kaki,503.645/2100/BPPT
420,Cibeunying Kaler,Cigadung,PT. Protelindo, Tbk,Masjid Al-Muslim Jl. Cibeunying Permai Raya No. 38 RT 04/RW  011. ,-6.88768,107.62822,107.62822,-6.88768,6,Pole,-
421,Cibeunying Kaler,Cigadung,PT. Protelindo, Tbk,Jl. Cukang Kawung No. 70 RT 01 RW  14 ,-6.88846,107.63407,107.63407,-6.88846,12,Pole,503.645/0175/BPPT
422,Cibeunying Kaler,Cigadung,PT. Protelindo, Tbk,Jl. Cigadung Raya Tengah No. 66 RT 02 RW  06 ,-6.88212,107.62769,107.62769,-6.88212,12,Pole,503.645/1694/BPPT
423,Cibeunying Kaler,Cigadung,PT. Protelindo, Tbk,Jl. Rancakendal 1B RT 05 RW  01 ,-6.87586,107.62807,107.62807,-6.87586,40,3 Kaki,503.645/1693/BPPT
424,Cibeunying Kaler,Sukaluyu,PT. Protelindo, Tbk,Jl. Sidomukti No. 58 RT 02 RW  07 ,-6.89357,107.63112,107.63112,-6.89357,12,Pole,503.645/3034/BPPT
425,Cibeunying Kaler,Cibeunying Kaler,PT. Protelindo, Tbk,Jl. Manteron No. 1B RT 06 RW 11 ,-6.89638,107.63069,107.63069,-6.89638,9,Pole,503.645/927/BPPT
426,Cibeunying Kaler,Cigadung,PT. Protelindo, Tbk,Gg. Masjid Al-Ikhlas RT  02 RW  08 ,-6.88318,107.62675,107.62675,-6.88318,6,Pole,-
427,Cibeunying Kaler,Cihaurgeulis,PT. Protelindo, Tbk,Jl. Supratman  No. 90  ,-6.90275,107.62762,107.62762,-6.90275,30,4 Kaki,503.645/SI-IMB-2090-Distarcip/II-8
428,Cibeunying Kaler,Sukaluyu,Daya Mitra Telekomunikasi,Jl. Manteron,-6.896353,107.630722,107.630722,-6.896353,10,4 Kaki,IMB - 503.645/1754/BPPT
429,Cibeunying Kaler,Neglasari,PT. Indosat, Tbk,Jl. Cikutra Baru Vi (Blok Sekejati) RT  03/05,-6.896255,107.641024,107.641024,-6.896255,32,4 Kaki,503.645/51-0255 Disbang/2002
430,Cibeunying Kaler,Neglasari,PT. Tower Bersama Group,Jl. Cikutra Baru Iv,-6.8957,107.64,107.64,-6.8957,42,4 Kaki,503.645/SI-1581 Disbang/2005
431,Cibeunying Kaler,Cigadung,PT. Tower Bersama Group,Cigadung Setra 1 No. 28 RT 01/10,-6.88676,107.629,107.629,-6.88676,25,4 Kaki,503.645/2436/BPPT
432,Cibeunying Kaler,Cigadung,PT. Tower Bersama Group,Jl. Cigadung Raya Tengah No.  50,-6.8824,107.629,107.629,-6.8824,32,4 Kaki,503.645/2436/BPPT
