No,Kecamatan,Kelurahan,Nama Perusahaan,Lokasi Menara,Latitude_rev,Longitude_rev,Longitude,Latitude,Tinggi Tower,Struktur Tower,Data IMB
85,Arcamanik,Cisaranten Bina Harapan,PT. Solusi Tunas Pratama,Jl. Golf III RT 02/011,-6.91775,107.6891389,107.6891389,-6.91775,20,Pole,Not Required
86,Arcamanik,Cisaranten Kulon,PT. Solusi Tunas Pratama,Jl. Sumbersari No. 101 RT 01 RW 08 ,-6.93729,107.682,107.682,-6.93729,31,3 Kaki,640.2/225/IMB/2016
87,Arcamanik,Cisaranten Kulon,PT. Solusi Tunas Pratama,Jl. Parakansaat No. 147 RT 02/RW 013,-6.932444444,107.6683056,107.6683056,-6.932444444,31,3 Kaki,640.2/161/IMB/2016
88,Arcamanik,Cisaranten Kulon,PT. Solusi Tunas Pratama,Jl. Cisaranten Wetan RT 01 RW 03,-6.92458,107.6872,107.6872,-6.92458,31,3 Kaki,503.A2/85/BPMP2T-LB/VI/2016Ê
89,Arcamanik,Cisaranten Kulon,PT. Telkomsel,Jl. Cingised,-6.929015,107.67705,107.67705,-6.929015,42,4 Kaki,-
90,Arcamanik,Cisaranten Endah,PT. Telkomsel,Jl. Gading Utama,-6.937548,107.671138,107.671138,-6.937548,15,3 Kaki,-
91,Arcamanik,Sukamiskin,PT. Telkomsel,Jl. Terusan Pasantren,-6.910683,107.678677,107.678677,-6.910683,12,4 Kaki,-
92,Arcamanik,Sukamiskin,PT. Telkomsel,Jl. Atlentik 2,-6.919231,107.672696,107.672696,-6.919231,20,Monopole,-
93,Arcamanik,Cisaranten Endah,PT. Telkomsel,Perumahan Griya Caraka Blok H-11 RT 01 RW  05,-6.931981,107.673621,107.673621,-6.931981,6,Pole,NO NEED
94,Arcamanik,Sukamiskin,PT. Telkomsel,Jl. Golf Barat No. 2 ,-6.91737,107.67511,107.67511,-6.91737,6,Pole,NO NEED
95,Arcamanik,Sukamiskin,PT. Centratama Menara Indonesia,Jl. Pacuan Kuda 2 RT 2 RW  1,-6.905514,107.672643,107.672643,-6.905514,9,Pole,503.645/3174/BPPT 2014
96,Arcamanik,Cisaranten Kulon,PT. Xl Axiata, Tbk,Jl. Cisaranten Kulon No. 107 RT 04/RW 07,-6.931027778,107.67975,-6.931027778,107.67975,30,4 Kaki,503.645/1512/BPPT
97,Arcamanik,Cisaranten Bina Harapan,PT. Xl Axiata, Tbk,Jl. Cikcukang No. 37 RT 01 RW 09,-6.913638889,107.6831944,-6.913638889,107.6831944,30,3 Kaki,503.645/SI-0196 Disbang/2006
98,Arcamanik,Cisaranten Endah,Hutchinson,Komp.Gading Regency Blok AII No. 7 RT 02/RW 03,-6.93761,107.67123,107.67123,-6.93761,12,Pole,-
99,Arcamanik,Cisaranten Kulon,Hutchinson,Jl. Terusan Cisaranten Kulon No. 5 RT 06/RW 07,-6.93689,107.67711,107.67711,-6.93689,12,Pole,-
100,Arcamanik,Cisaranten Endah,Naragita,Jl. Terusan Cikajang RT  01/03,-6.92333,107.66925,107.66925,-6.92333,30,Pole,-
101,Astanaanyar,Cibadak,PT. Protelindo, Tbk,Jl. Pagarsih No.  21,-6.92325,107.59714,107.59714,-6.92325,30,4 Kaki,503.645/SI-2269 Disbang/2004
102,Astanaanyar,Pelindung Hewan,PT. Protelindo, Tbk,Komplek Kurdi Regency No. 40 B RT  02 RW  06,-6.94173,107.60352,107.60352,-6.94173,20,3 Kaki,503.645/SI-0340Disbang/2007
103,Astanaanyar,Karang Anyar,PT. Protelindo, Tbk,Jl. Oto Iskandardinata,-6.92269,107.60378,107.60378,-6.92269,25,3 Kaki,503.645/1701/BPPT
104,Astanaanyar,Pelindung Hewan,PT. Protelindo, Tbk,Jl. Moh. Toha No. 96A RT 06 RW  09,-6.93975,107.60632,107.60632,-6.93975,12,Pole,503.645/1437/BPPT
105,Astanaanyar,Pelindung Hewan,PT. Protelindo, Tbk,Jl. Peta No. 52 RT 06 RW  01,-6.93705,107.60011,107.60011,-6.93705,25,4 Kaki,503.645/1374/BPPT
106,Astanaanyar,Nyengseret,PT. Protelindo, Tbk,Jl. Bapa Suhaya RT 04 RW  06,-6.93451,107.60035,107.60035,-6.93451,31,3 Kaki,503.645/222/BPPT
107,Astanaanyar,Karasak,PT. Protelindo, Tbk, Jl. Soekarno  Hatta 421 RT 03 RW  04,-6.94788,107.6084,107.6084,-6.94788,31,Pole,503.645/3670/BPPT
108,Astanaanyar,Pelindung Hewan,PT. Protelindo, Tbk,Jl. Inhoftank Kav.37B - 38A RT 02 RW 06,-6.94162,107.60355,107.60355,-6.94162,20,3 Kaki,503.645/SI-059 Disbang/2005
109,Astanaanyar,Pelindung Hewan,PT. Protelindo, Tbk,Jl. Astana Anyar No. 330 RT  02 RW  03,-6.93498,107.60247,107.60247,-6.93498,25,3 Kaki,503.645/SI-2785 Disbang/2006
110,Astanaanyar,Karang Anyar,Daya Mitra Telekomunikasi,Jl. Oto Iskandar Dinata No. 305,-6.925148,107.603799,107.603799,-6.925148,9,Pole,IMB - 503.640/620/429.207/2013
111,Astanaanyar,Pelindung Hewan,Daya Mitra Telekomunikasi,Jl. Peta No. 32,-6.937146,107.600073,107.600073,-6.937146,12,Pole,IMB-503.645/3437/BPPT
112,Astanaanyar,Cibadak,PT. Indosat, Tbk,Jl. Astana Anyar No. 132Cibadak,-6.925209,107.599318,107.599318,-6.925209,20,4 Kaki,503.645/SI-2830-Disbang/2001
113,Astanaanyar,Pungkur,PT. Indosat, Tbk,Ji. Otto Lskandardinata No. 455 (Ruko Surya),-6.929731,107.603421,107.603421,-6.929731,15,4 Kaki,503.645/S1-2838 Disbang/2001
114,Astanaanyar,Pelindung Hewan,PT. Solusi Tunas Pratama,Jl. M Toha No. 191,-6.9446,107.60842,107.60842,-6.9446,15,Pole,503.645/895/BPPT
115,Astanaanyar,Nyengseret,PT. Solusi Tunas Pratama,Jl. Astana Anyar No. 238 RT 05/02,-6.930037,107.600529,107.600529,-6.930037,15,Pole,503.645/898/BPPT
116,Astanaanyar,Panjunan,PT. Solusi Tunas Pratama,Jl. Kopo No. 38 A RT  04 RW  04,-6.928888889,107.5974167,107.5974167,-6.928888889,20,3 Kaki,0431/8.1/31.71.01.1006/-1.785.51/2016
117,Astanaanyar,Cibadak,PT. Telkomsel,Jl. Astana Anyar No. ,-6.925128,107.59933,-6.925128,107.59933,20,3 Kaki,-
118,Astanaanyar,Ciateul,PT. Telkomsel,Jl. Otista No. 520 Bandung,-6.93197,107.60306,107.60306,-6.93197,6,Pole,NO NEED
119,Astanaanyar,Pelindung Hewan,PT. Telkomsel,Jl. Inhoftank No. 21 RT  02/07,-6.93906,107.60318,107.60318,-6.93906,4.2,Pole,NO NEED
120,Astanaanyar,Cibadak,PT. Telkomsel,Jl. K. Natawijaya No. 41 Gg. Welas Asih Blok 90 No. 178 RT  09/07,-6.92557,107.596202,107.596202,-6.92557,6,Pole,NO NEED
121,Astanaanyar,Pelindung Hewan,PT. Centratama Menara Indonesia,Jl. Inhopftank RT 02 RW 07,6.93923,107.6032,107.6032,6.93923,10,Pole,IMB NR
122,Astanaanyar,Panjunan,PT. Xl Axiata, Tbk,Jl. Kopo No. 13 Bandung Toko Mas Sae,-6.92727,107.59805,-6.92727,107.59805,12,Pole,503.645/SI-1694 Disbang/2007
123,Astanaanyar,Cibadak,PT. Xl Axiata, Tbk,Jl. Cibadak Gg. Nyi Empok No. 1 - Bandung,-6.92174,107.59381,-6.92174,107.59381,36,Pole,503.645/SI-1998 Disbang/2006
124,Babakan Ciparay,Cirangrang,PT. Protelindo, Tbk,Jl. Pesantren RT /RW  5/4 Kode Pos 40277,-6.95806,107.586,107.586,-6.95806,30,3 Kaki,503.645/SI-2847/Disbang/2006
125,Babakan Ciparay,Margahayu Utara,PT. Protelindo, Tbk,Jl. Cibolerang No. 219 RT /RW  02/08 Kode Pos 40224 ,-6.9496,107.56964,107.56964,-6.9496,46,3 Kaki,503.645/SI-3463/Disbang/2006
126,Babakan Ciparay,Babakan Ciparay,PT. Protelindo, Tbk,Jl. Soekarno  Hatta /H. Hasan II No. 17 RT  01/07 Kodepos 40223,-6.93847,107.57758,107.57758,-6.93847,35,3 Kaki,503.645/SI-0544 Disbang/2007
127,Babakan Ciparay,Sukahaji,PT. Protelindo, Tbk,Jl. Jamika No. 118 RT  05 RW  06 Kode Pos 40221,-6.92375,107.5855,107.5855,-6.92375,23,3 Kaki,503.645/SI-2843Disbang/2006
128,Babakan Ciparay,Margasuka,PT. Protelindo, Tbk,Jl. Cibolerang Kawasan 45 RT 04 RW  07,-6.95266,107.57399,107.57399,-6.95266,30,3 Kaki,503.645/0463/BPPT
129,Babakan Ciparay,Babakan,PT. Protelindo, Tbk,Jl. Terusan Pasirkoja RT 01 RW  07,-6.93034,107.57702,107.57702,-6.93034,12,Pole,503.645/0189/BPPT
130,Babakan Ciparay,Babakan,PT. Protelindo, Tbk,Jl. Terusan Pasir Koja Blok. 8,-6.92966,107.57694,107.57694,-6.92966,15,3 Kaki,503.645/SI-2634/Disbang/2003
131,Babakan Ciparay,Babakan Ciparay,PT. Protelindo, Tbk,Jl. Babakan Ciparay RT  01 RW  09 ,-6.93593,107.5841,107.5841,-6.93593,31,3 Kaki,503.645/832/BPPT
132,Babakan Ciparay,Margahayu Utara,PT. Protelindo, Tbk,Jl. Makam Caringin No. 93 B RT 01 RW 02 Kode Pos 40224,-6.95194,107.58079,107.58079,-6.95194,42,3 Kaki,503.645/SI-3561 Disbang/2006
133,Babakan Ciparay,Sukahaji,PT. Protelindo, Tbk,Jl. Babakan Ciparay Gg Air Mancur RT 06/03,-6.92996,107.5831,107.5831,-6.92996,9,Pole,-
134,Babakan Ciparay,Babakan Ciparay,PT. Protelindo, Tbk,Jl. Babakan Ciparay RT 7 RW 05,-6.94166,107.5812,107.5812,-6.94166,30,4 Kaki,503.645/1302/BPPT
135,Babakan Ciparay,Babakan,Daya Mitra Telekomunikasi,Jl. Caringin Blok Kopat,-6.943511,107.573399,107.573399,-6.943511,6,Pole,IMB - 503.645/1589/BPPT
136,Babakan Ciparay,Babakan,Daya Mitra Telekomunikasi,Jl. Ters. Suryani Gg. Abadi RT 03 RW 02,-6.92615,107.57957,107.57957,-6.92615,30,Pole,IMB - 663.10/0008/IMBT/XII/2016/BPPT
137,Babakan Ciparay,Margasuka,Daya Mitra Telekomunikasi,Jl. Kopo Mas Regency,-6.95803,107.578526,107.578526,-6.95803,6,Pole,0
138,Babakan Ciparay,Babakan,PT. Indosat, Tbk,Jl. Caringin RT 02 RW 09,-6.940137,107.570607,107.570607,-6.940137,42,4 Kaki,503.645/51-2094-DISTARCIP/IV/08
139,Babakan Ciparay,Babakan Ciparay,PT. Indosat, Tbk,Jl. Babakan Ciparay No. 240,-6.938397,107.582849,107.582849,-6.938397,52,4 Kaki,503.645/SI-2491 Disbang/2001
140,Babakan Ciparay,Babakan Ciparay,PT. Tower Bersama Group,Jl. Babakan Ciparay 108,-6.94171,107.583,107.583,-6.94171,42,4 Kaki,503.645/SI-3212 Disbang/2006
141,Babakan Ciparay,Babakan Ciparay,PT. Tower Bersama Group,Jl. Caringin No. 113,-6.94546,107.582,107.582,-6.94546,6,Pole,503.644.4/SI-787/DPB TAHUN 1996
142,Babakan Ciparay,Babakan Ciparay,PT. Tower Bersama Group,Kp. Babakan Jl. Cibuntu Selatan RT 01/10,-6.93103,107.575,107.575,-6.93103,32,4 Kaki,503.645/1345/BPPT
143,Babakan Ciparay,Margasuka,PT. Tower Bersama Group,Jl. H. Abdurrohman RT 05/07,-6.95341,107.573,107.573,-6.95341,26,4 Kaki,663.10/0003/IMBT/I/2017/DPMPTSP
144,Babakan Ciparay,Margahayu Utara,PT. Tower Bersama Group,Jl. Terusan Holis RT 01/10,-6.94522,107.568,107.568,-6.94522,32,4 Kaki,REKOM DISHUBKOMINFO DAN KRK DONE,  PENGESAHAN IMB
145,Babakan Ciparay,Babakan Ciparay,PT. Solusi Tunas Pratama,Jl. Makam Caringin No. 31 RT 04/RW 02,-6.947416667,107.5835278,107.5835278,-6.947416667,9,Pole,503.010/DPM_PTSP/IJ.IMB/IV/2017
